tempo,stateEstimate.x,stateEstimate.y,stateEstimate.z,pm.batteryLevel,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,
26686,5.858133,2.286646,0.055378,10.000000,0.366656,0.649569,14.830628,
26696,5.858130,2.286647,0.055360,10.000000,0.365998,0.648471,14.815378,
26706,5.858129,2.286652,0.055343,10.000000,0.363647,0.648331,14.799809,
26716,5.858375,2.286726,0.053937,10.000000,0.363529,0.585361,14.802457,
26726,5.858143,2.286665,0.053949,10.000000,0.364823,0.658537,14.767245,
26736,5.858152,2.286672,0.053863,10.000000,0.364580,0.656704,14.753494,
26746,5.858396,2.286737,0.053790,10.000000,0.364496,0.587878,14.756786,
26756,5.858402,2.286745,0.053004,10.000000,0.364540,0.602203,14.739045,
26766,5.858400,2.286746,0.052891,10.000000,0.366190,0.614508,14.721362,
26776,5.857568,2.286017,0.052839,10.000000,0.495081,0.874409,14.663877,
26786,5.858135,2.286661,0.054881,10.000000,0.337595,0.632913,14.698610,
26796,5.858127,2.286665,0.054895,10.000000,0.342490,0.637713,14.682391,
26806,5.858614,2.286801,0.054029,10.000000,0.347797,0.512513,14.690574,
26816,5.857477,2.286247,0.055153,10.000000,0.415365,0.858020,14.601725,
26826,5.857877,2.286596,0.056275,10.000000,0.339769,0.679598,14.638479,
26836,5.857452,2.286236,0.056387,10.000000,0.408723,0.797783,14.574512,
26846,5.858346,2.286718,0.055863,10.000000,0.337193,0.506647,14.643190,
26856,5.857438,2.286225,0.057054,10.000000,0.406884,0.789109,14.554822,
26866,5.857847,2.286581,0.057766,10.000000,0.333009,0.623445,14.594184,
26876,5.857421,2.286217,0.058172,10.000000,0.402968,0.752271,14.531459,
26886,5.857840,2.286577,0.058805,10.000000,0.330815,0.593396,14.570350,
26896,5.858407,2.286489,0.056427,10.000000,0.401974,0.475910,14.575793,
26906,5.858092,2.286656,0.056941,10.000000,0.332097,0.578936,14.521965,
26916,5.857438,2.286231,0.057271,10.000000,0.405389,0.779562,14.482652,
26926,5.857846,2.286589,0.058178,10.000000,0.332241,0.615886,14.494458,
26936,5.858603,2.286806,0.055347,10.000000,0.341497,0.426647,14.532400,
26946,5.858353,2.286741,0.055829,10.000000,0.348649,0.538968,14.487676,
26956,5.858356,2.286740,0.055863,10.000000,0.355024,0.559760,14.470841,
26966,5.858110,2.286677,0.055911,10.000000,0.359039,0.639355,14.432738,
26976,5.858355,2.286736,0.056044,10.000000,0.363381,0.572034,14.443549,
26986,5.858360,2.286741,0.055213,10.000000,0.366664,0.587349,14.426359,
26996,5.858360,2.286742,0.055189,10.000000,0.368390,0.597906,14.410235,
27006,5.858358,2.286743,0.055165,10.000000,0.369873,0.606906,14.393407,
27016,5.858117,2.286682,0.055121,10.000000,0.371126,0.677687,14.363672,
27026,5.858360,2.286752,0.053951,10.000000,0.372102,0.604638,14.365962,
27036,5.858116,2.286691,0.053886,10.000000,0.372756,0.674919,14.337292,
27046,5.858119,2.286689,0.053822,10.000000,0.374658,0.663305,14.324998,
27056,5.857466,2.286277,0.053573,10.000000,0.436502,0.843489,14.289766,
