'tempo': 26406,{'stateEstimate.x': 5.8582072257995605, 'stateEstimate.y': 2.2866551876068115, 'stateEstimate.z': 0.054550379514694214, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37544533610343933, 'stabilizer.pitch': 0.6046790480613708, 'stabilizer.yaw': 15.252103805541992}#
'tempo': 26416,{'stateEstimate.x': 5.858205795288086, 'stateEstimate.y': 2.2866525650024414, 'stateEstimate.z': 0.054586175829172134, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3755013644695282, 'stabilizer.pitch': 0.6030066609382629, 'stabilizer.yaw': 15.23631763458252}#
'tempo': 26426,{'stateEstimate.x': 5.858205795288086, 'stateEstimate.y': 2.286654233932495, 'stateEstimate.z': 0.05462081357836723, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37494945526123047, 'stabilizer.pitch': 0.6012711524963379, 'stabilizer.yaw': 15.223912239074707}#
'tempo': 26436,{'stateEstimate.x': 5.857562065124512, 'stateEstimate.y': 2.286226272583008, 'stateEstimate.z': 0.0547250472009182, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.43907538056373596, 'stabilizer.pitch': 0.7893268465995789, 'stabilizer.yaw': 15.189518928527832}#
'tempo': 26446,{'stateEstimate.x': 5.858436107635498, 'stateEstimate.y': 2.28671932220459, 'stateEstimate.z': 0.054362744092941284, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36148834228515625, 'stabilizer.pitch': 0.49420300126075745, 'stabilizer.yaw': 15.196850776672363}#
'tempo': 26456,{'stateEstimate.x': 5.857545852661133, 'stateEstimate.y': 2.286219596862793, 'stateEstimate.z': 0.05535418167710304, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4276092052459717, 'stabilizer.pitch': 0.7739651799201965, 'stabilizer.yaw': 15.166133880615234}#
'tempo': 26466,{'stateEstimate.x': 5.857546329498291, 'stateEstimate.y': 2.2862179279327393, 'stateEstimate.z': 0.055599674582481384, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.41554462909698486, 'stabilizer.pitch': 0.7314059734344482, 'stabilizer.yaw': 15.153298377990723}#
'tempo': 26476,{'stateEstimate.x': 5.857950210571289, 'stateEstimate.y': 2.2865731716156006, 'stateEstimate.z': 0.05606813728809357, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3438870906829834, 'stabilizer.pitch': 0.5722236037254333, 'stabilizer.yaw': 15.154949188232422}#
'tempo': 26486,{'stateEstimate.x': 5.858193397521973, 'stateEstimate.y': 2.2866504192352295, 'stateEstimate.z': 0.05525316670536995, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3493227958679199, 'stabilizer.pitch': 0.5161761045455933, 'stabilizer.yaw': 15.145025253295898}#
'tempo': 26496,{'stateEstimate.x': 5.858185291290283, 'stateEstimate.y': 2.286647319793701, 'stateEstimate.z': 0.055368904024362564, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.35438522696495056, 'stabilizer.pitch': 0.5418631434440613, 'stabilizer.yaw': 15.127349853515625}#
